Type,Question,Answer
心率,什麼是正常的心律？,正常成人在休息狀態每分心跳速率為60~100次，大部份的人在60~80次之間。
心率,什麼是心律不整？,心律不整指的是心臟的跳動速率過慢、過快，或是不規則跳動的表現。
心率,有什麼生活上的習慣會造成心律不整嗎？,長期飲用大量含咖啡因的飲品(一天3到5杯)、有抽菸習慣或是處在壓力較大環境的人，容易心律不整。
心率,心律不整會有什麼症狀？,心悸、胸悶、胸痛，甚至會有暈眩、呼吸困難的情形，如發生上述情況應立即就醫。
心率,心律不整的常見原因是什麼？,分為生理性的心律不整(心臟本身的疾病)、心理性心律不整(興奮、緊張、壓力、情緒失控)、外物所導致的心律不整(長期服用利尿劑、減肥藥，或是喝含有咖啡因的飲料)。
心率,如何預防心律不整？,少油、少鹽、均衡攝取六大類食物。減少飲用濃茶、咖啡等刺激性飲料。禁菸、禁酒，並保持情緒穩定，放鬆生活步調。
睡眠,每晚睡眠需要多久才足夠?,建議睡眠時間：未成年：8~10小時、成年人 (18-59歲)：7~8小時、老年人 (60歲以上)：睡足7小時。
睡眠,睡眠時間是否影響健康?,充足的睡眠有助血球、腦神經或皮膚等細胞的快速修復再生。除此之外還可刺激免疫系統，產生能增加抵抗力的免疫蛋白，以增強身體的抵抗力。
睡眠,深眠與淺眠是什麼?淺睡多有什麼影響?,淺眠佔整晚睡眠時間最多，全身的系統、核心體溫慢慢下滑，眼球停止轉動。身體雖然活動力驟降，但偶爾還是會有突然出現的活動(像半夜清醒)。深眠時的心跳、呼吸活動、腦波都降到最低。有助大腦休息、修復，並恢復精力、增進記憶力。如果深眠太少，日久容易形成慢性疲勞，影響腦部及身體健康。
睡眠,如何讓睡眠更規律?,固定起床的時間能讓生理時鐘記住，讓身體產生幫助清醒的血清素。到該就寢時也會分泌退黑激素幫助入眠。
睡眠,如何改善睡眠質量?,在睡前不要運動，讓自己放鬆心情，也避免滑手機。讓自己處於一個適合睡眠的舒適環境，可以讓腦部知道該睡了，更有助於睡眠。
活動,如何養成每天運動的習慣？,每天固定時間去運動，將運動融入生活習慣。在達成目標後，也能給自己一些小獎勵，像是一件新衣服或大餐，讓自己感受到努力的回報。
活動,"我總是很難開始運動,有什麼建議嗎？",先把目標設立的明確、並且從小目標開始，像是每周三次，跑步30分鐘，持續一個禮拜，達成後再慢慢增加強度與時間。
活動,"如果今天無法運動或到室外運動,如何補足運動量？",有許多室內活動能補足運動量，像是瑜珈或伸展運動，能強化核心和放鬆身心。仰臥起坐和棒式等能提升穩定性和平衡感。這些動作都不需要器材，卻能有效增進肌肉力量。
活動,我應該在一天中的什麼時間段進行運動？,每個時間段有不同適合的運動。早上較適合做「低強度」運動，像是：瑜伽、慢跑、健走等，在運動前建議先吃些醣類來墊胃，否則空腹不但影響運動效果，更容易血糖過低。傍晚（約 16∼19 點）是運動的黃金時間，最適合做「高強度的訓練」，像是：重訓、高強度間歇、有氧舞蹈。晚上則可以安排「中強度的有氧訓練」，像是：跑步、游泳。但太晚或是太過激烈會導致身體過於亢奮而睡不著喔!
活動,運動後如何快速恢復？,建議在運動後一小時內進食補充能量，並透過散步、伸展或按摩進行恢復。並別忘記補充水分。
活動,為什麼我的肌肉總是酸痛？有什麼解決方法嗎？,在運動前沒有暖身、過度使用肌肉、運動後沒有收操都有可能導致肌肉痠痛。在運動後馬上按摩使用過的肌肉能降低痠痛的可能性，如果已經痠痛了就先在剛痠痛時冰敷止痛，隔天開始再熱敷舒緩症狀。
活動,運動需要多久的恢復時間？,每種運動需要不同的恢復時間，像是瑜珈、太極等低強度運動，恢復時間小於一天。如慢跑、游泳、騎自行車等有氧運動，恢復時間為一到兩天。輕度有氧運動可以每天進行。重訓等運動則需要兩到三天恢復，身體需要時間來修復並增強肌肉。
活動,我有高血壓，什麼運動對我比較安全？,有氧運動對於高血壓的改善最為顯著，例如快走、慢跑、登山、游泳、跳舞、騎腳踏車、爬樓梯等。但這不代表其他訓練沒有必要。適度的重量訓練如1週2次左右，不僅可提升肌肉量，還能減緩年紀增長所造成肌肉和骨質密度流失速度。不過高血壓患者在進行重量訓練前，應先與醫師諮詢適合個人的訓練方式。
活動,心臟病患者可以進行哪些類型的運動？,以大肌肉群為主，有氧運動是比較適合心臟病患者從事的運動類型，包含散步、快走、慢跑、游泳或騎自行車。盡量避免無氧性較高的運動，如重訓、短跑。建議心臟病患者1週運動3~5次，每次運動時間約在30~60分鐘之內。運動強度建議到感覺有點喘，不能唱歌，但仍能夠講話。但在運動時如果出現不適症狀，請立刻停止運動並休息。若此症狀沒有好轉甚至惡化，請立刻就診治療。
活動,糖尿病患者運動前後需要注意什麼 ？,在運動前先量測血糖，若較低可先補充醣分或避免運動，補充的份量則由運動強度決定。若血糖太高時應避免運動。在運動時則應隨身攜帶含糖食物。
活動,哪些運動可以幫助控制血糖？,有氧運動為佳，能幫助增強心肺功能及促進胰島素作用，如快步走、慢跑、騎腳踏車、游泳或跳繩等。若關節退化則建議做水中有氧、游泳或腳踏車。每周建議至少150分鐘。此外在運動前請先與醫生溝通。
活動,運動時如何預防低血糖？,在運動時應隨身攜帶含糖食物以避免低血糖。
活動,有關節炎的人應該避免哪些運動？,避免做爬山、跑步、打網球或踢足球等激烈運動。
活動,有哪些適合關節炎患者的低衝擊運動？,健走、游泳、騎自行車等有氧運動，對患有骨關節炎的人來說很好，因為這些運動可以訓練心肺、維持身體的活動性，並能緩解疼痛。不過游泳時建議選擇溫水游泳池，因為冷水可能會對患有關節炎的部位有害。此外若身體狀況允許，應配合適當重訓延緩骨質流失。
活動,運動時如何減少關節疼痛？,像長跑和踢足球等高衝擊性運動容易對關節產生較大負擔，因此應該選擇適當的運動，像是游泳、瑜珈和快走，對關節保固都是相當好的選擇。此外在運動前的暖身和運動後的伸展也能減少關節受傷的風險。
活動,超重者最適合從哪些運動開始？,對超重者來說建議選擇低衝擊的運動，減少關節和肌肉的壓力，並配合輕度的重訓。習慣後可逐漸增加強度。
活動,減肥過程中，運動與飲食應如何搭配？,控制日常熱量的攝取，並均衡飲食，確保飲食中含有適量的碳水化合物、蛋白質和健康脂肪，並避免精製碳水化合物。此外對於正在進行力量訓練的人，蛋白質尤其重要，蛋白質有助於肌肉修復和增長。
疲勞,什麼是疲勞指數？,"疲勞指數是由手錶測量表面肌電(Electromyography, EMG)，直接觀測肌肉放電之情形，放電頻率上升，即代表疲勞發生。"
疲勞,"我該如何讓疲勞指數維持在正常範圍內,不要過勞？",定期運動能提升身體效能，讓人感覺不那麼累。除此之外養成良好的睡眠習慣也相當重要。
疲勞,"假如現在疲勞指數呈現過勞狀態,我該怎麼辦？",安排時間小睡，確保有足夠睡眠來恢復體力。如果沒辦法馬上入睡，可以讓自己放鬆一下，像是聽輕音樂、深呼吸或是冥想。結束後也能考慮泡熱水澡，有助於放鬆肌肉和精神。
疲勞,假如時常處於疲勞狀態對身體有什麼影響？,長期疲勞的結果，會衍生許多問題，像是睡眠品質不好、全身肌肉無力、無法集中精神、思考力衰退等。這也稱為慢性疲勞症候群。如果此症狀超過數月，請至家醫科與醫生討論。
